,BFC02,BFC04,BMC01,BMC02,BMC03,BMC04,BMC05,BMC08,BMC09,BMC10,WFC01,WFC03,WMC01,WMC02,WMC03,WMC04,WMC05,WMC07,WMC08,WMC09,BFA03,BFA02,BMA02,BMA04,WFA01,WFA02,WMA01,WMA02
PLAIN,4,"""x""",3,2,3,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
PLANT,4,"""x""",4,2,1,2,4,1,4,3,1,1,2,2,3,3,3,3,3,3,1,"""x""",4,1,"""x""",,"""x""","""x"""
PLAQUE,4,"""x""",4,3,3,1,4,1,2,3,2,1,2,2,3,3,3,3,3,4,1,"""x""",4,3,"""x""",2,"""x""","""x"""
POOR,4,"""x""",4,2,2,2,4,1,3,3,1,1,2,2,3,3,3,3,3,3,1,"""x""",4,4,"""x""",2,"""x""","""x"""
PORT,4,"""x""",4,2,1,2,4,1,3,3,1,1,2,2,3,3,3,3,3,1,1,"""x""",4,2,"""x""",2,"""x""","""x"""
POT,4,"""x""",4,2,4,2,4,1,2,3,1,1,2,3,3,3,3,3,3,4,1,"""x""",4,2,"""x""",,"""x""","""x"""
PRAISE,4,"""x""",3,2,2,2,4,1,3,3,1,1,2,2,2,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
PRESS,4,"""x""",4,2,2,2,4,1,3,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,4,"""x""",2,"""x""","""x"""
PRICK,4,"""x""",4,2,3,2,4,1,3,3,2,1,2,2,3,3,3,3,3,4,1,"""x""",4,5,"""x""",2,"""x""","""x"""
PRINCE,4,"""x""",4,2,1,2,4,1,3,3,1,1,2,2,3,3,3,3,3,1,1,"""x""",4,5,"""x""",2,"""x""","""x"""
PROSE,4,"""x""",4,2,3,2,4,1,2,3,1,1,2,2,3,3,3,3,3,4,1,"""x""",4,1,"""x""",2,"""x""","""x"""
PRUNE,4,"""x""",4,2,2,2,4,1,2,3,1,1,2,3,3,3,3,3,3,4,1,"""x""",4,3,"""x""",2,"""x""","""x"""
PURSE,4,"""x""",4,2,1,2,4,1,3,2,1,1,2,3,3,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
QUACK,4,"""x""",3,2,1,2,4,1,3,3,1,1,2,3,3,3,3,3,3,4,1,"""x""",4,2,"""x""",2,"""x""","""x"""
